id,name,bday,location,final,p
754,Jason Katz,1969-07-25,American,,"Since 2003, he has been married to actress Peter Pamela Rose."
755,Anjali,,,,
756,Christopher Walken,1943-03-31,"Astoria, New York",upload.wikimedia.org/wikipedia/commons/thumb/c/cf/ChristopherWalkenFeb08.jpg/330px-ChristopherWalkenFeb08.jpg,"Walken has had roles in films such as Annie Hall (1977), The Deer Hunter (1978), The Dogs of War (1980), The Dead Zone (1983), A View to a Kill (1985), Batman Returns (1992),  True Romance (1993), Pulp Fiction (1994), Antz (1998), Vendetta (1999), Sleepy Hollow (1999), Catch Me If You Can (2002), Hairspray (2007), Seven Psychopaths (2012), the first three Prophecy films, The Jungle Book (2016), and Irreplaceable You (2018), as well as music videos by many popular recording artists. He has received a number of awards and nominations, including the Academy Award for Best Supporting Actor for The Deer Hunter. He was nominated for the same award and won BAFTA and Screen Actors Guild Awards for Catch Me If You Can."
757,Jordan Peele,1979-02-21,,upload.wikimedia.org/wikipedia/commons/thumb/3/30/Jordan_Peele_Peabody_2014_%28cropped%29.jpg/330px-Jordan_Peele_Peabody_2014_%28cropped%29.jpg,"Peele's breakout role came in 2003, when he was hired as a cast member on the FOX sketch comedy series Mad TV, where he spent five seasons, leaving the show in 2008. In the following years, he and his frequent Mad TV collaborator, Keegan-Michael Key, created and starred in their own Comedy Central sketch comedy series Key & Peele (2012–2015). In 2014, they recurred together playing FBI agents in season one of FX's anthology series Fargo.[4] He co-created the TBS comedy series The Last O.G. (2018–present) and the YouTube Premium comedy series Weird City (2019–present). He has also served as the host and producer of the CBS All Access anthology series The Twilight Zone (2019–present)."
758,Billy Magnussen,1985-04-20,"Woodhaven, Queens",upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Billy_Magnussen_2011_%28cropped%29.jpg/330px-Billy_Magnussen_2011_%28cropped%29.jpg,"Magnussen was born in Woodhaven, Queens, New York, the son of Daina, an aerobics instructor, and Greg Magnussen, a professional bodybuilder and kickboxer. He has two younger brothers.[2][3][4] His maternal grandparents were Lithuanian immigrants. He grew up in Queens around Woodhaven Blvd. until the age of 10, when he moved with his family to Cumming, Georgia. Magnussen graduated from South Forsyth High School in 2003 and later graduated from the North Carolina School of the Arts.[5]"
759,Hero Fiennes Tiffin,1997-11-06,,,"Hero Fiennes-Tiffin (born 6 November 1997) is an English actor and model best known for his role as the 11-year-old Tom Riddle, the young version of antagonist Lord Voldemort (played in the films by his uncle, Ralph Fiennes), in Harry Potter and the Half Blood Prince, the sixth installment of the Harry Potter films.[1]  He also played the role of ""younger Charlie"" in the war based film Private Peaceful. Hero is also known for his role as Hardin Scott, in the movie After, an adaptation of the novel by Anna Todd."
760,Julianne Moore,1960-12-03,Fort Bragg,upload.wikimedia.org/wikipedia/commons/thumb/0/03/Julianne_Moore_Cannes_2018_%28tweaked%29.jpg/330px-Julianne_Moore_Cannes_2018_%28tweaked%29.jpg,"Julianne Moore (born Julie Anne Smith; December 3, 1960) is an American actress and children's author. Prolific in film since the early 1990s, she is particularly known for her portrayals of emotionally troubled women in both independent and Hollywood films, and has received many accolades, including the Academy Award for Best Actress."
761,Mark Fergus,,,,"They are the creators and executive producers of the TV series The Expanse, which debuted on Syfy in December 2015.[4]"
762,Ayesha DeVitre,,,,
763,Nirup Bhandari,,Bangalore,,"Nirup Bhandari is an Indian actor who works in Kannada cinema.[1][2] He made his debut in the 2015 critically and commercially acclaimed movie RangiTaranga,[3][4][5] directed by elder brother Anup Bhandari, also starring Sai Kumar, Avantika Shetty, Radhika Chetan and Shilpa Singh. RangiTaranga became the highest grossing Kannada Movie of all times breaking all records in India and also overseas.[6]
Nirup holds an Engineering degree from Vidya Vikas Institute of Engineering & Technology (VVIET), Mysore.
Nirup is the son of director Sudhakar Bhandari who has directed Kichcha Sudeep in television serial Premada Kadambari. His elder brother Anup Bhandari is a director, lyricist and music composer. Nirup learnt acting in Ratan Thakore Grant acting school MiSF!T and learnt dance under Sridharan Pillai. Before RangiTaranga he was a child artist in Jolly Picnic, and played the role of a psychopath in recent television serial Advocate Arjun. He recently got married to his long time girlfriend, Dhanya in Mysuru.[7]"
764,Joe Johnston,1950-05-13,Austin,upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Joe_Johnston.jpg/330px-Joe_Johnston.jpg,"Joseph Eggleston Johnston II[1] (born May 13, 1950)[1] is an American film director and former visual effects artist best known for such effects-driven movies as Honey, I Shrunk the Kids (1989), Jumanji (1995) and Jurassic Park III (2001). These movies include a number of period films such as The Rocketeer (1991), The Wolfman (2010), and Captain America: The First Avenger (2011). Johnston also directed the biographical drama October Sky (1999)."
765,Adil Hussain,1963-10-05,Goalpara,upload.wikimedia.org/wikipedia/commons/0/0e/Adil_Hussain_at_%27Life_of_Pi%27_press_meet.jpg,"Adil Hussain (pronounced [ʕaːdɪl ħuˈseːn]; born 5 October 1963) is an Indian film actor of Assamese Descent , who works in mainstream Bollywood as well as art house cinema. He has worked in international films like The Reluctant Fundamentalist and Life of Pi (both 2012) and he received the Special Jury Award at the 2017 National Film Awards. He has acted in English, Hindi, Assamese, Bengali, Tamil, Marathi, Malayalam, Norwegian and French films.[1][2]"
766,Ulrich Matthes,,,,"Ulrich Matthes was born in West Berlin and educated at the Evangelisches Gymnasium zum Grauen Kloster. He studied acting in the early 1980s in Berlin under Else Bongers. In the 2004 movie Downfall he plays Joseph Goebbels. In the 2004 movie The Ninth Day, he plays Fr. Henri Kremer, a Catholic priest imprisoned at Dachau."
767,Akarsh Khurana,,,,
768,Lisa Haydon,1986-06-17,Chennai,upload.wikimedia.org/wikipedia/commons/thumb/8/87/Lisa_Haydon_snapped_wearing_Mishru%E2%80%99s_Supernova_collection_%2802%29_%28cropped%29.jpg/330px-Lisa_Haydon_snapped_wearing_Mishru%E2%80%99s_Supernova_collection_%2802%29_%28cropped%29.jpg,"Elisabeth Marie ""Lisa"" Haydon (born 17 June 1986) is an Australian actress, TV presenter and model, who mainly appears in Hindi films. Haydon made her acting debut with a supporting role in the 2010 romantic comedy Aisha and received critical praise for her performance in the comedy-drama Queen, which garnered wide recognition and a Best Supporting Actress nomination at Filmfare, among other accolades. Haydon later starred in the commercially successful romantic comedy Housefull 3 and had a brief role in the Karan Johar-directed romantic drama Ae Dil Hai Mushkil (both 2016)."
769,Maxim Gaudette,1974-06-08,Conservatoire d'art dramatique de Montréal,,"Originally from Sherbrooke,[3] he is the son of former hockey player André Gaudette.[4] He graduated from the Conservatoire d'art dramatique de Montréal in 1997.[5] He has acted in television, film and stage roles.[3]"
770,Meghna Gulzar,1973-12-13,,upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Meghna_gulzar.jpg/330px-Meghna_gulzar.jpg,"Meghna Gulzar (born 13 December 1973) is an Indian director of Hindi films, and is the only child of lyricist and poet Gulzar and his wife actress Raakhee.[3] She is also the author of a book about her father, titled Because He Is....[4] Gulzar received wider recognisation for directing the 2018 spy thriller Raazi, one of the highest-grossing Indian films of all time, for which she won the Best Director and Best Film trophies at Filmfare ceremony."
771,Vera Farmiga,1973-08-06,"Irvington, New Jersey",upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Vera_Farmiga_%2843676389342%29.jpg/330px-Vera_Farmiga_%2843676389342%29.jpg,"Vera Ann Farmiga[1] (/fɑːrˈmiːɡə/; born August 6, 1973) is an American actress, film director, and producer."
772,Bernd Eichinger,1949-04-11,Neuburg an der Donau,upload.wikimedia.org/wikipedia/commons/5/5b/Bernd_Eichinger_%28cropped%29.jpg,"Bernd Eichinger (11 April 1949 – 24 January 2011) was a German film producer, director and screenwriter."
773,Laeta Kalogridis,1965-08-30,Davidson College,,She is also the founder of the pro-union website Hollywood United and was involved as a peacemaker in the 2007–2008 Writers Guild of America strike.[1]
774,Sheena Parikh,1965-08-30,Davidson College,,
775,Chaitally Parmar,1965-08-30,Davidson College,,
776,Ronald Harwood,1934-11-09,,,"Sir Ronald Harwood, CBE, FRSL (born Ronald Horwitz; 9 November 1934) is an African-born British author, playwright and screenwriter. He is most noted for his plays for the British stage as well as the screenplays for The Dresser (for which he was nominated for an Oscar) and The Pianist, for which he won the 2003 Academy Award for Best Adapted Screenplay. He was nominated for the Best Adapted Screenplay Oscar for The Diving Bell and the Butterfly (2007)."
777,Elizabeth McGovern,1961-07-18,,upload.wikimedia.org/wikipedia/commons/3/30/Elizabeth_McGovern_2012.jpg,"McGovern was born in Evanston, Illinois, the daughter of Katharine Wolcott (née Watts), a high school teacher, and William Montgomery McGovern, Jr., a university professor.[2] Her younger sister is novelist Cammie McGovern. Her paternal grandfather was adventurer William Montgomery McGovern, her maternal great-grandfathers were U.S. diplomat Ethelbert Watts and Admiral Charles P. Snyder, and her maternal great-great-grandfather was Congressman Charles P. Snyder.[3][4][5] During her early years, the McGovern family moved to Los Angeles, where her father accepted a teaching position with the law school at UCLA."
778,Raveena Tandon,1974-10-26,,upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Raveena_Tandon.jpg/330px-Raveena_Tandon.jpg,"Raveena Tandon (born 26 October 1974), also known by her married name Raveena Tandon Thadani, is an Indian actress, producer,  television personality and a former model who primarily appears in Hindi films. She is the daughter of director Ravi Tandon. One of the country's most popular actresses, Tandon is the recipient of several awards, including a National Film Award and two Filmfare Awards. She has established a career with a variety of character types in a range of film genres."
779,Lilly Wachowski,1965-06-21,,,"Lana Wachowski (born Laurence ""Larry"" Wachowski; June 21, 1965)[3] and Lilly Wachowski (born Andrew Paul ""Andy"" Wachowski; December 29, 1967)[4] are American film and TV directors, writers, and producers.[5] The sisters are both trans women.[6][7][8][9] Collectively known as The Wachowskis[a][11] (/wəˈtʃaʊski/), they have worked as a writing and directing team through most of their professional film careers."
780,Pran,,,,
781,Tim Miller,,,,
782,Urmila Matondkar,1974-02-04,,upload.wikimedia.org/wikipedia/commons/thumb/0/05/Urmila_at_kjo_bday.jpg/330px-Urmila_at_kjo_bday.jpg,
783,Dharani,,,,"Dharani are found in the ancient texts of all major traditions of Buddhism. They are a major part of the Pali canon preserved by the Theravada tradition. Mahayana sutras – such as the Lotus Sutra and the Heart Sutra – include or conclude with dharani.[1] Some Buddhist texts, such as Pancaraksa found in the homes of many Buddhist tantra tradition followers, are entirely dedicated to dharani.[9] They are a part of their ritual prayers as well as considered to be an amulet and charm in themselves, whose recitation believed to allay bad luck, diseases or other calamity.[1][9][2] They were an essential part of the monastic training in Buddhism's history in East Asia.[10][11] In some Buddhist regions, they served as texts upon which the Buddhist witness would swear to tell the truth.[9]"
784,Bapsi Sidhwa,,,,"Bapsi Sidhwa (Urdu: باپسا سادہوا‎; born August 11, 1938) is a Pakistani[1] novelist of Gujarati Parsi descent[2] who writes in English and is resident in the United States."
785,Trivikram Srinivas (as Trivikram),,,,
786,Max von Sydow,1929-04-10,Lund,upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Max_von_Sydow_Cannes_2016.jpg/330px-Max_von_Sydow_Cannes_2016.jpg,"Max von Sydow (/vɒn ˈsiːdoʊ/;[1][a] born Carl Adolf von Sydow, 10 April 1929) is a Swedish-born French actor. He has held French citizenship since 2002.[2][3]  He has appeared in many European and American films in several languages, including Swedish, English, Norwegian, Danish, German, French, Italian, and Spanish. He received the Royal Foundation of Sweden's Cultural Award in 1954, was made a Commandeur des Arts et des Lettres in 2005, and was named a Chevalier de la Légion d'honneur on 17 October 2012."
787,Yôji Matsuda,1929-04-10,Lund,upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Max_von_Sydow_Cannes_2016.jpg/330px-Max_von_Sydow_Cannes_2016.jpg,
788,Richard Curtis,1956-11-08,Wellington,upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Richard_Curtis_MFF_2016.jpg/330px-Richard_Curtis_MFF_2016.jpg,"Richard Whalley Anthony Curtis, CBE (born 8 November 1956), is a British screenwriter, producer, and film director.[1] One of Britain's most successful comedy screenwriters, he is known primarily for his romantic comedy films, among them Four Weddings and a Funeral (1994), Notting Hill (1999), Bridget Jones's Diary (2001), Love Actually (2003), and About Time (2013). He is also known for the drama War Horse (2011), and for having co-written the hit sitcoms Blackadder, Mr. Bean, and The Vicar of Dibley."
789,Jake Johnson,1978-05-28,"Evanston, Illinois",upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Jake_Johnson_by_Gage_Skidmore.jpg/330px-Jake_Johnson_by_Gage_Skidmore.jpg,"Mark Jake Johnson Weinberger (born May 28, 1978)[1] is an American actor and comedian, best known for his role as Nick Miller in the Fox sitcom New Girl (2011–18), for which he was nominated for the Critics' Choice Television Award for Best Actor in a Comedy Series in 2013, and as the older Peter B. Parker/Spider-Man in Spider-Man: Into the Spider-Verse (2018). He also starred in Let's Be Cops (2014), and appeared in Paper Heart (2009), Get Him to the Greek (2010), Safety Not Guaranteed (2012), 21 Jump Street (2012), Drinking Buddies (2013), Jurassic World (2015), The Mummy (2017) and Tag (2018)."
790,Anwar Rasheed,,,,"Anwar Rasheed is an Indian film director and producer who works in Malayalam films. He made his debut in 2005 with Rajamanikyam, a masala entertainer starring Mammootty.[2] He continued films in the same genre with Chotta Mumbai (2007) and Annan Thambi (2008). He followed that by Ustad Hotel (2012), written by Anjali Menon, which was a commercial success and won critical accolades such as the National Award for Best Popular Film. Also, he produced blockbuster films Bangalore Days and Premam under the banner Anwar Rasheed Entertainments."
791,Todd Komarnicki,1965-10-19,,,"As a playwright, he authored the play Beautiful Boy, produced in a theater in Los Angeles in 1993. That same year Komarnicki found success with the detective novel. Free (1993) [1] is a thriller about Jefferson Alexander Freeman, a schizophrenic living on the streets of New Orleans, who finds a corpse in the back of a notorious bar. In order to unravel the mystery of this murder, he teams up with detective Agatha Li. The unlikely duo finds the answer to the riddle on a trip to the slums of Hong Kong."
792,Abbas Tyrewala,1974-05-15,Mumbai,upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Abbas_Tyrewala.jpg/330px-Abbas_Tyrewala.jpg,"Abbas Tyrewala is an Indian film storywriter, screenwriter, dialogue writer and director.[1] After making his mark as a screenwriter and dialogue writer in early 2000s, with award-winning films like Maqbool (2003), Munnabhai M.B.B.S. (2003), he made his debut as a director with a breezy romantic comedy, Jaane Tu Ya Jaane Na (2008)."
793,Vidya Malvade,1973-03-02,Mumbai,upload.wikimedia.org/wikipedia/commons/b/b4/Vidya_Malvade.jpg,"Vidya Malvade is an Indian actress, mainly working in the Bollywood film industry."
794,Raja Menon,1973-03-02,Mumbai,upload.wikimedia.org/wikipedia/commons/b/b4/Vidya_Malvade.jpg,
795,Imran Khan,1952-10-05,,,
796,Çetin Tekindor,1945-07-16,,,"Çetin Tekindor was born in 1945 in Sivas. After studying theatre at the Ankara State Conservatory. He made his professional acting debut in a play IV. Murat in 1970. Besides acting, he also gave acting lessons at the Hacettepe University State Conservatory and Bilkent University."
797,Christina Hodson,,London,upload.wikimedia.org/wikipedia/commons/thumb/9/90/Christina_Hodson.jpg/330px-Christina_Hodson.jpg,
798,Anne Moss,,London,upload.wikimedia.org/wikipedia/commons/thumb/9/90/Christina_Hodson.jpg/330px-Christina_Hodson.jpg,
799,Donna Reed,1921-01-27,"Denison, Iowa",upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Donna_Reed.jpg/330px-Donna_Reed.jpg,"Reed is probably most widely known[original research?] for her work in television, notably as Donna Stone, a middle-class American mother and housewife in the sitcom The Donna Reed Show (1958–66), in which her character was more assertive than most other television mothers of the era. She received numerous Emmy Award nominations for this role and the Golden Globe Award for Best TV Star in 1963. Later in her career, Reed replaced Barbara Bel Geddes as Miss Ellie Ewing Farlow in the 1984–85 season of the television melodrama Dallas; she sued the production company for breach of contract when she was abruptly fired upon Bel Geddes' decision to return to the show."
800,Dennis Lehane,1965-08-04,"Boston, Massachusetts",upload.wikimedia.org/wikipedia/commons/thumb/3/34/Dennis_Lehane_BBF_2010_Shankbone_crop.jpg/300px-Dennis_Lehane_BBF_2010_Shankbone_crop.jpg,"Lehane's novels adapted as films included Mystic River (2001), with a 2003 film by the same name, directed by Clint Eastwood, which won several awards. Shutter Island was adapted as a 2010 film directed by Martin Scorsese."
801,Vidya Balan,1979-01-01,Mumbai,upload.wikimedia.org/wikipedia/commons/d/d1/Vidya_Balan_promoting_Tumhari_Sulu_2.jpg,"Vidya Balan (pronounced [ʋɪd̪jaː baːlən]; born 1 January 1979) is an Indian actress. Known for pioneering a change in the concept of a Hindi film heroine with her portrayals of strong-willed women, she is the recipient of several awards, including a National Film Award, six Filmfare Awards, and six Screen Awards. She was awarded the Padma Shri by the Government of India in 2014."
802,Jonathan Levine,1976-06-18,Brown University,,"Jonathan A. Levine was born and raised in New York City, He attended St. Bernard's School, in Manhattan, and Phillips Academy, in Andover, Massachusetts. He received his bachelor's degree from Brown University, where he majored in Art Semiotics. He earned his Masters of Fine Arts (MFA) in Film Directing from the American Film Institute, in Los Angeles, at its AFI Conservatory."
803,Stanley Tucci,1960-11-11,"Peekskill, New York",upload.wikimedia.org/wikipedia/commons/thumb/1/13/Stanley_Tucci_2017_Berlinale.jpg/330px-Stanley_Tucci_2017_Berlinale.jpg,"Stanley Tucci (/ˈtuːtʃi/; born November 11, 1960) is an American actor, writer, producer, and film director.[2][3]  Involved in acting from a young age, he made his film debut in 1985's Prizzi's Honor, and played a wide variety of supporting roles in many major Hollywood film productions.  He has also played as lead actor in a number of films, starting with lead billing in the 1996 film A Modern Affair."
804,Aarav Khanna,1960-11-11,"Peekskill, New York",upload.wikimedia.org/wikipedia/commons/thumb/1/13/Stanley_Tucci_2017_Berlinale.jpg/330px-Stanley_Tucci_2017_Berlinale.jpg,
805,Saranya Ponvannan,1970-04-26,Allappuzha,upload.wikimedia.org/wikipedia/commons/thumb/6/61/Saranya_Ponvannan_at_Saivam_Audio_Launch.jpg/330px-Saranya_Ponvannan_at_Saivam_Audio_Launch.jpg,"Saranya Ponvannan (born April 1970), also known as Sheela Christina Raj[1], is a popular South Indian film actress who has predominantly appeared in Tamil, Telugu, Malayalam language films and a few Kannada language films. Saranya made her debut in a lead role in Mani Ratnam's Nayakan (1987) and went on to play lead roles from 1987-1996. Following an eight-year sabbatical, she returned to films as a character actor, specializing in ""mother of the hero"" roles."
806,Graham Greene,1904-10-02,Berkhamsted,upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Graham_Greene%2C_Bassano.jpg/300px-Graham_Greene%2C_Bassano.jpg,"Henry Graham Greene OM CH (2 October 1904 – 3 April 1991), better known by his pen name Graham Greene, was an English novelist regarded by many as one of the greatest writers of the 20th century.[1][2] Combining literary acclaim with widespread popularity, Greene acquired a reputation early in his lifetime as a major writer, both of serious Catholic novels, and of thrillers (or ""entertainments"" as he termed them). He was shortlisted, in 1966 and 1967, for the Nobel Prize for Literature.[3][4] Through 67 years of writings, which included over 25 novels, he explored the ambivalent moral and political issues of the modern world, often through a Catholic perspective."
807,Milan Luthria,,Mumbai,upload.wikimedia.org/wikipedia/commons/3/3b/Milan_luthria_Bollywood_%26_TV_actors_at_Ekta_Kapoor%27s_birthday_bash.jpg,Milan Luthria is an Indian film director who works in Hindi films. He is best known as the director of Ajay Devgan's Once Upon a Time in Mumbai (2010). He is the nephew of producer and director Mahesh Bhatt.[1]
808,Tisca Chopra,1973-11-01,,upload.wikimedia.org/wikipedia/commons/0/02/Tisca_Chopra_snapped_doing_media_interactions_for_Chhuri_%2806%29_%28cropped%29.jpg,"Tisca Chopra  is an Indian actress, author and film producer. She has acted in over 45 feature films in different languages with many eminent directors like Aamir Khan, Prakash Jha, Madhur Bhandarkar, Abhinay Deo, Nagesh Kukunoor and Anup Singh."
809,Mohan Raja (as M. Raja),1973-11-01,,upload.wikimedia.org/wikipedia/commons/0/02/Tisca_Chopra_snapped_doing_media_interactions_for_Chhuri_%2806%29_%28cropped%29.jpg,
810,Zeenat Aman,1951-11-19,Bombay,upload.wikimedia.org/wikipedia/commons/thumb/4/47/Zeenat_Aman_at_the_Society_Achievers_Awards_2018.jpg/330px-Zeenat_Aman_at_the_Society_Achievers_Awards_2018.jpg,"Upon making her debut in Bollywood, Zeenat Aman, along with Parveen Babi, was known for making a massive impact on the image of its leading actresses by introducing the modern look to Hindi cinema. Zeenat Aman is considered a very influential actress of Indian cinema, as she had opened the new door for all the other actresses and had been an inspiration for many other heroines."
811,Zoya Akhtar,1972-10-14,,upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Zoya_at_audio_release_of_Talaash.jpg/330px-Zoya_at_audio_release_of_Talaash.jpg,"Dil Dhadakne Do,
Lust Stories,
Gully Boy,"
812,Min,,,,
813,Olivia Milch,,,,
814,Sushmita Sen,1975-11-19,,upload.wikimedia.org/wikipedia/commons/5/52/Sushmita_Sen_Manish_M_B%27day_Bash.jpg,"Sushmita Sen (born 19 November 1975)[1][2] is an Indian film actress and model who was crowned Femina Miss India Universe in 1994 and she later won the Miss Universe 1994 contest at the age of 18. Sen is the first Indian woman to win the competition.[6] Primarily known for her work in Hindi films, she has also appeared in Tamil and Bengali language films. She has won several accolades including a Filmfare Award."
815,Boman Irani,1959-12-02,Bombay,upload.wikimedia.org/wikipedia/commons/2/24/Boman_Irani.jpg,"Boman Irani (born 2 December 1959) is an Indian theatre and film actor, voice artist and photographer of Irani descent. He is widely known for his comedic and villain roles in Bollywood films such as Munna Bhai MBBS (2003), Lage Raho Munna Bhai (2006),  3 Idiots (2009), Don (2006), Happy New Year (2014), PK (2014), and Dilwale (2015).[2]"
816,Letitia Wright,1993-10-31,"Georgetown, Guyana",upload.wikimedia.org/wikipedia/commons/thumb/3/37/Letitia_Wright_by_Gage_Skidmore.jpg/330px-Letitia_Wright_by_Gage_Skidmore.jpg,"Letitia Michelle Wright is a Guyanese-born British actress. Beginning her professional career in 2011, she has played roles in several British TV series, including Top Boy, Coming Up, Chasing Shadows, Humans, the Doctor Who episode ""Face the Raven"" and the Black Mirror episode ""Black Museum""; for the latter she received a Primetime Emmy Award nomination for Outstanding Supporting Actress in a Limited Series or Movie."
817,Rajasimha,,,,
818,Jason Momoa,1979-08-01,Nānākuli,upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Jason_Momoa%2C_Aquaman_%2845655623114%29.jpg/330px-Jason_Momoa%2C_Aquaman_%2845655623114%29.jpg,"Joseph Jason Namakaeha Momoa (born August 1, 1979) is an American actor. He is known for portraying Aquaman in the DC Extended Universe, beginning with the 2016 superhero film Batman v Superman: Dawn of Justice, and in the 2017 ensemble Justice League and his 2018 solo film Aquaman. In Baywatch Hawaii, he portrayed Lifeguard Jason Ioane.[1][2] He is also known for his television roles as Ronon Dex on the military science fiction television series Stargate Atlantis (2004–2009), Khal Drogo in the HBO fantasy television series Game of Thrones (2011–2012), and as Declan Harp in the CBC series Frontier (2016–present)."
819,Alok Nath,1956-07-10,,upload.wikimedia.org/wikipedia/commons/thumb/0/01/AlokNath.jpg/330px-AlokNath.jpg,"Alok Nath (born 10 July 1956), popularly known as Sanskaari Babuji, is an Indian film character actor known for his works in Hindi cinema and television.[5] He was born in Khagaria district of Bihar. He made his film debut with the 1982 film Gandhi which won the Academy Award for Best Picture that year.[6] He appeared in the soap opera Buniyad which took the country by a storm in 1982. He was also in Rishtey, which aired from 1999-2001.[7] He appeared in the Star Plus serial Sapna Babul Ka...Bidaai. He later worked in Yahaaan Main Ghar Ghar Kheli and Yeh Rishta Kya Kehlata Hai.[8]"
820,Hussain Zaidi,,Novelist,,"S. Hussain Zaidi is an Indian author and former investigative journalist.[2]  His works include Dongri to Dubai: Six Decades of the Mumbai Mafia, Mafia Queens of Mumbai, Black Friday, My Name is Abu Salem and Mumbai Avengers.[3]"
821,Chrissy Metz,1980-09-29,"Homestead, Florida",upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chrissy_Metz_3.jpg/330px-Chrissy_Metz_3.jpg,"Christine Michelle Metz (born September 29, 1980)[1] is an American actress and singer. She is known for playing Kate Pearson in the NBC drama This Is Us, for which she has earned Best Supporting Actress nominations at the Primetime Emmy Awards (2017) and Golden Globe Awards (2017 and 2018)."
822,David Hare,,,,
823,Karthi,1977-05-25,,upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Karthi_at_62nd_Filmfare_awards_south_%28cropped%29.jpg/330px-Karthi_at_62nd_Filmfare_awards_south_%28cropped%29.jpg,
824,Mehboob Khan (as Mehboob),1977-05-25,,upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Karthi_at_62nd_Filmfare_awards_south_%28cropped%29.jpg/330px-Karthi_at_62nd_Filmfare_awards_south_%28cropped%29.jpg,
825,Evangeline Lilly,1979-08-03,Fort Saskatchewan,upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Evangeline_Lilly_SDCC_2014_%28cropped%29.jpg/330px-Evangeline_Lilly_SDCC_2014_%28cropped%29.jpg,"Nicole Evangeline Lilly (born August 3, 1979)[1][2] is a Canadian actress. She gained fame for her role as the character Kate Austen in the ABC program Lost (2004–10); for this, she won a Screen Actors Guild Award and received a Golden Globe Award nomination.[3] She is also known for her roles as Connie James in The Hurt Locker (2008), Bailey Tallet in Real Steel (2011), Tauriel in The Hobbit film series (2013 and 2014), and in the Marvel Cinematic Universe, she starred as the superhero Hope van Dyne / Wasp in the films Ant-Man (2015), Ant-Man and the Wasp (2018) and Avengers: Endgame (2019)."
826,Virginia Cherrill,1908-04-12,"Carthage, Illinois",upload.wikimedia.org/wikipedia/commons/thumb/5/59/Virginia_Cherrill_by_Lansing_Brown.jpg/330px-Virginia_Cherrill_by_Lansing_Brown.jpg,"Virginia Cherrill (April 12, 1908 – November 14, 1996) was an American actress best known for her role as the blind flower girl in Charlie Chaplin's City Lights (1931)."
827,Sharmila Tagore,1944-12-08,Hyderabad ,upload.wikimedia.org/wikipedia/commons/4/41/Sharmila_Tagore_3.jpg,Sharmila Tagore (also known as Begum Ayesha Sultana Khan following conversion to Islam and marriage[2]; born 8 December 1944) is an Indian film actress known for her works in Hindi cinema as well as Bengali cinema. She has received two National Film Awards and two Filmfare Awards for her performances. She was one of the highest paid actresses in 70s and also one of the iconic veteran actresses of Indian Cinema.
828,Kôgo Noda,1893-11-19,"Hakodate, Hokkaidō",upload.wikimedia.org/wikipedia/commons/thumb/9/92/NodaKogo.JPG/330px-NodaKogo.JPG,"Born in Hakodate, Noda was the son of the head of the local tax bureau and younger brother to Kyūho, a Nihonga painter.[1] He moved to Nagoya after completing elementary school and later went to Waseda University.[1][2] After graduating, he worked for the city of Tokyo while also serving as a reporter for Katsudō kurabu, one of the major film magazines, using the pen name Harunosuke Midorikawa.[1] On the recommendation of a scriptwriter friend from junior high, Takashi Oda, he joined the script department at Shōchiku after the Great Kantō earthquake.[1][2] He soon became one of the studio's central screenwriters, penning for instance Aizen katsura (1938), one of its biggest prewar hits.[1]"
829,Bill Murray,1950-09-21,"Evanston, Illinois",upload.wikimedia.org/wikipedia/commons/thumb/6/67/Bill_Murray_2018.jpg/330px-Bill_Murray_2018.jpg,"William James Murray (born September 21, 1950) is an American actor, comedian, and writer. He first gained exposure on Saturday Night Live, a series of performances that earned him his first Emmy Award, and later starred in comedy films—including Meatballs (1979), Caddyshack (1980), Stripes (1981), Tootsie (1982), Ghostbusters (1984), Scrooged (1988), Ghostbusters II (1989), What About Bob? (1991), and Groundhog Day (1993). He also co-directed Quick Change (1990)."
830,"Vikas Bahl, Nitesh Tiwari",1950-09-21,"Evanston, Illinois",upload.wikimedia.org/wikipedia/commons/thumb/6/67/Bill_Murray_2018.jpg/330px-Bill_Murray_2018.jpg,
